iter	Passed	Remaining
871	9536	1399
872	9547	1388
873	9558	1377
874	9569	1367
875	9581	1356
876	9592	1345
877	9603	1334
878	9615	1323
879	9625	1312
880	9636	1301
881	9646	1290
882	9657	1279
883	9666	1268
884	9677	1257
885	9689	1246
886	9701	1235
887	9712	1224
888	9723	1214
889	9733	1202
890	9742	1191
891	9754	1181
892	9765	1170
893	9773	1158
894	9785	1148
895	9795	1136
896	9804	1125
897	9816	1115
898	9827	1104
899	9837	1093
900	9846	1081
901	9858	1071
902	9869	1060
903	9879	1049
904	9890	1038
905	9902	1027
906	9913	1016
907	9924	1005
908	9935	994
909	9947	983
910	9955	972
911	9966	961
912	9977	950
913	9988	939
914	9999	928
915	10010	918
916	10021	907
917	10030	895
918	10041	885
919	10052	874
920	10063	863
921	10075	852
922	10086	841
923	10098	830
924	10109	819
925	10119	808
926	10132	797
927	10142	786
928	10153	775
929	10164	765
930	10175	754
931	10186	743
932	10198	732
933	10209	721
934	10219	710
935	10231	699
936	10241	688
937	10252	677
938	10263	666
939	10275	655
940	10285	644
941	10297	634
942	10309	623
943	10323	612
944	10335	601
945	10346	590
946	10356	579
947	10368	568
948	10380	557
949	10390	546
950	10402	535
951	10411	524
952	10421	513
953	10431	503
954	10443	492
955	10454	481
956	10466	470
957	10477	459
958	10489	448
959	10500	437
960	10510	426
961	10520	415
962	10531	404
963	10542	393
964	10553	382
965	10564	371
966	10575	360
967	10586	349
968	10597	339
969	10608	328
970	10619	317
971	10629	306
972	10640	295
973	10650	284
974	10660	273
975	10671	262
976	10682	251
977	10694	240
978	10702	229
979	10713	218
980	10725	207
981	10736	196
982	10748	185
983	10759	174
984	10770	164
985	10781	153
986	10792	142
987	10802	131
988	10813	120
989	10823	109
990	10833	98
991	10842	87
992	10854	76
993	10866	65
994	10876	54
995	10887	43
996	10899	32
997	10910	21
998	10921	10
999	10931	0
